username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RowanUniversity;2019-05-07 13:44;0;1;"Welcome to the fam! # Rowan2023";;;#;"1125818749410521088";https://twitter.com/RowanUniversity/status/1125818749410521088
RowanUniversity;2019-05-07 13:43;0;1;"We're glad to hear you're safe, Prof. We will alert facilities about this incident.";;;;"1125818391095386113";https://twitter.com/RowanUniversity/status/1125818391095386113
RowanUniversity;2019-05-07 13:07;0;1;"Hey # Rowan2019, need some grad cap inspiration? @ Mashable put together a list of "15 perfect graduation cap designs for fans of 'The Office'". A Class of 2018 alum may or may not be featured... https://bit.ly/2Yf4ghH";;@;#;"1125809276457488384";https://twitter.com/RowanUniversity/status/1125809276457488384
RowanUniversity;2019-05-07 10:48;6;13;"If you could thank one teacher who impacted your life here at Rowan who would it be?https://twitter.com/RowanGlobal/status/1125757822384463873 …";;;;"1125774388807258112";https://twitter.com/RowanUniversity/status/1125774388807258112
RowanUniversity;2019-05-07 09:42;0;0;"Hi there, we suggest reaching out the Office of Admissions. Please email admissions@rowan.edu. Best of luck!";;@rowan;;"1125757703769423872";https://twitter.com/RowanUniversity/status/1125757703769423872
RowanUniversity;2019-05-07 09:28;0;4;"Now we're crying... # Rowan2019pic.twitter.com/SP4C4ubscp";;;#;"1125754199315288067";https://twitter.com/RowanUniversity/status/1125754199315288067
RowanUniversity;2019-05-07 09:27;0;0;"We're sorry to here that. If you'd like to update your information with the Office of Alumni Engagement you can do it here: https://bit.ly/2YcInPU";;;;"1125753903537106950";https://twitter.com/RowanUniversity/status/1125753903537106950
RowanUniversity;2019-05-07 09:04;0;1;"We love it. Congrats, Prof!";;;;"1125748158301126656";https://twitter.com/RowanUniversity/status/1125748158301126656
RowanUniversity;2019-05-06 16:25;1;8;"Mahaa Ahmed '19 considered several majors during her undergraduate years. But her time here opened her eyes to a wide variety of degree combinations. Mahaa created her ideal degree­—a mixture of science, humanities and arts. Read more: https://bit.ly/2Y6XsTh # Rowan2019pic.twitter.com/8fDe020164";;;#;"1125496713572171777";https://twitter.com/RowanUniversity/status/1125496713572171777
RowanUniversity;2019-05-06 15:55;1;8;"Days, Class of 2019! Don't forget to use # Rowan2019 for a chance to win some prizes. More info can be found here: http://rowan.edu/rowan2019 https://twitter.com/beccaschnier/status/1125149301355831296 …";;;#;"1125489170481336321";https://twitter.com/RowanUniversity/status/1125489170481336321
RowanUniversity;2019-05-06 13:39;1;2;"Congrats! # Rowan2019";;;#;"1125455116532891650";https://twitter.com/RowanUniversity/status/1125455116532891650
RowanUniversity;2019-05-06 13:35;4;29;"Despite his Rowan pedigree, Mike Rozanski' 19 carved his own path as a campus leader. Read more: https://bit.ly/2vH9aba # Rowan2019 pic.twitter.com/kgQBWIRl38";;;#;"1125453935798517761";https://twitter.com/RowanUniversity/status/1125453935798517761
RowanUniversity;2019-05-06 10:28;8;40;"Finals Week is upon us, Profs.pic.twitter.com/nEb4T58h1Q";;;;"1125406910931333122";https://twitter.com/RowanUniversity/status/1125406910931333122
RowanUniversity;2019-05-06 10:25;0;0;"Looks great! Be sure to us # Rowan2019 for a chance to win some awesome prizes.";;;#;"1125406337159053314";https://twitter.com/RowanUniversity/status/1125406337159053314
RowanUniversity;2019-05-06 10:22;0;0;"Yes there is. We suggest emailing support@rowan.edu. They will be able to assist you best.";;@rowan;;"1125405363023622144";https://twitter.com/RowanUniversity/status/1125405363023622144
RowanUniversity;2019-05-06 09:00;10;27;"# MotivationMondaypic.twitter.com/gUlh6Xy77O";;;#;"1125384727110868992";https://twitter.com/RowanUniversity/status/1125384727110868992
RowanUniversity;2019-05-05 11:22;0;0;"We suggest emailing Commencement@rowan.edu for more information on topics such as these. -CH";;@rowan;;"1125058198757572608";https://twitter.com/RowanUniversity/status/1125058198757572608
RowanUniversity;2019-05-04 17:55;0;3;"Congrats, Prof! # RowanProud";;;#;"1124794787700277249";https://twitter.com/RowanUniversity/status/1124794787700277249
RowanUniversity;2019-05-04 09:10;30;60;"We cannot wait to celebrate # Rowan2019. Retweet if you're excited to graduate! pic.twitter.com/DcO9OrYIdQ";;;#;"1124662466158432256";https://twitter.com/RowanUniversity/status/1124662466158432256
RowanUniversity;2019-05-03 13:29;1;4;"Welcome to the # Rowan2023 family, Don!";;;#;"1124365345278582791";https://twitter.com/RowanUniversity/status/1124365345278582791
RowanUniversity;2019-05-03 13:24;0;6;"So excited! See you soon, Ryan!";;;;"1124364128137744384";https://twitter.com/RowanUniversity/status/1124364128137744384
RowanUniversity;2019-05-03 12:32;0;4;"Can't wait to have you all here! # Rowan2023";;;#;"1124351053619658752";https://twitter.com/RowanUniversity/status/1124351053619658752
RowanUniversity;2019-05-03 12:32;1;9;"Welcome to the family, Lindsay!";;;;"1124350975936954369";https://twitter.com/RowanUniversity/status/1124350975936954369
RowanUniversity;2019-05-03 12:31;2;27;"We love seeing Prof pups! https://twitter.com/RowanCED/status/1124331429784170497 …";;;;"1124350856806244358";https://twitter.com/RowanUniversity/status/1124350856806244358
RowanUniversity;2019-05-02 16:59;0;1;"Welcome, Prof";;;;"1124055749511057409";https://twitter.com/RowanUniversity/status/1124055749511057409
RowanUniversity;2019-05-02 16:58;0;1;"Congrats, Prof";;;;"1124055659039875073";https://twitter.com/RowanUniversity/status/1124055659039875073
RowanUniversity;2019-05-02 15:08;1;12;"Commencement 2019 will be here before we know it. In celebration, share a picture of your last days on campus or of your decorated grad cap using # Rowan2019 for a chance to win some awesome prizes. For full contest details visit: http://rowan.edu/rowan2019  pic.twitter.com/Rc1h440guq";;;#;"1124027789756256257";https://twitter.com/RowanUniversity/status/1124027789756256257
RowanUniversity;2019-05-02 11:50;0;4;"Go Profs!!!https://twitter.com/RowanAthletics/status/1123769803968262144 …";;;;"1123977985462341633";https://twitter.com/RowanUniversity/status/1123977985462341633
RowanUniversity;2019-05-02 11:44;0;0;"Anything we can help with, Desire?";;;;"1123976465626861568";https://twitter.com/RowanUniversity/status/1123976465626861568
RowanUniversity;2019-05-02 11:43;0;1;"Yay! Welcome to the family!";;;;"1123976339818782720";https://twitter.com/RowanUniversity/status/1123976339818782720
RowanUniversity;2019-05-02 11:37;0;1;"So excited! # Rowan2023";;;#;"1123974830821466112";https://twitter.com/RowanUniversity/status/1123974830821466112
RowanUniversity;2019-05-02 11:36;1;2;"Welcome to the # Rowan2023 family, Des!!!";;;#;"1123974621135605766";https://twitter.com/RowanUniversity/status/1123974621135605766
RowanUniversity;2019-05-02 11:33;0;0;"So happy!!!";;;;"1123973811081183234";https://twitter.com/RowanUniversity/status/1123973811081183234
RowanUniversity;2019-05-02 11:32;0;1;"Woohoo! Welcome to the # Rowan2023 family, Prof!";;;#;"1123973666415480835";https://twitter.com/RowanUniversity/status/1123973666415480835
RowanUniversity;2019-05-02 11:32;0;2;"We spy @ kenlacovara at the @ EdelmanFossilPK";;@ @;;"1123973491278209026";https://twitter.com/RowanUniversity/status/1123973491278209026
RowanUniversity;2019-05-01 18:52;0;0;"June 1st! If you have any questions feel free to email transferadmissions@rowan.edu -ML";;@rowan;;"1123721975560593409";https://twitter.com/RowanUniversity/status/1123721975560593409
RowanUniversity;2019-05-01 17:19;0;2;"Thanks for being # RowanPROUD -ML";;;#;"1123698410530516992";https://twitter.com/RowanUniversity/status/1123698410530516992
RowanUniversity;2019-05-01 17:04;0;1;"Congrats! We’re # RowanPROUD-ML";;;#;"1123694749800718338";https://twitter.com/RowanUniversity/status/1123694749800718338
RowanUniversity;2019-05-01 13:42;0;1;"We're so glad you chose us! # Rowan2023";;;#;"1123643915133964289";https://twitter.com/RowanUniversity/status/1123643915133964289
RowanUniversity;2019-05-01 13:30;0;0;"We're have an adventure over on our IG Story today. Come follow along: http://instagram.com/rowanuniversity";;;;"1123640784828411904";https://twitter.com/RowanUniversity/status/1123640784828411904
RowanUniversity;2019-05-01 13:08;0;0;"Hi there, Public Safety has a lost and found. You can contact them at 856-256-4568.";;;;"1123635205057777668";https://twitter.com/RowanUniversity/status/1123635205057777668
RowanUniversity;2019-05-01 13:05;0;0;"Welcome to the fam! # Rowan2023";;;#;"1123634672792231936";https://twitter.com/RowanUniversity/status/1123634672792231936
RowanUniversity;2019-05-01 11:32;0;17;"It’s # NationalDecisionDay and we can’t wait to meet our new Profs! # Rowan2023 - what are you most excited for?";;;# #;"1123611224674111488";https://twitter.com/RowanUniversity/status/1123611224674111488
RowanUniversity;2019-05-01 09:44;4;47;"President Houshmand is kind of a big deal... https://twitter.com/rowanathletics/status/1123581761882152962 …";;;;"1123583958686547968";https://twitter.com/RowanUniversity/status/1123583958686547968
RowanUniversity;2019-05-01 09:24;2;15;"Today is National College Decision Day! You know our choice. http://rowan.edu/enroll # RowanPROUD # NationalDecisionDay";;;# #;"1123578820743897088";https://twitter.com/RowanUniversity/status/1123578820743897088
RowanUniversity;2019-04-30 18:44;2;13;""I was nervous to transfer, but immediately felt welcomed and at home once I moved down to Glassboro. I was excited to continue my education journey at a school I have always loved.” - Sam '20, Psychology Major Read more:https://bit.ly/2IZVksf";;;;"1123357364646817792";https://twitter.com/RowanUniversity/status/1123357364646817792
RowanUniversity;2019-04-30 18:37;0;7;"Tomorrow is # NationalCollegeDecision Day! We can't wait to welcome # Rowan2023 to campus this fall. If you're an accepted student and ready to commit to your future here at Rowan click here https://bit.ly/2Lh8kME";;;# #;"1123355599390019584";https://twitter.com/RowanUniversity/status/1123355599390019584
RowanUniversity;2019-04-30 13:25;8;14;"Commencement Week 2019 is right around the corner, Profs. Here is the ceremony schedule for that week: https://bit.ly/2GyBmTv # Rowan2019";;;#;"1123277083378057217";https://twitter.com/RowanUniversity/status/1123277083378057217
RowanUniversity;2019-04-30 12:02;0;7;"Let's go Profs! https://twitter.com/RowanAthletics/status/1123255692549165056 …";;;;"1123256200638992386";https://twitter.com/RowanUniversity/status/1123256200638992386
